X,Y,TimeSinceZero,DateTime,AnimalID,Lat,Long,Speed(m/min),timeDays,timeOfDay,speedCategory,Speed(m/s),dayNum,area,Time,aggregateSpeed(m/min),timeNearby
582628.66087149,-2195359.09300916,0,2024-01-01 06:00:00,1,-70.33423273246778,59.20036991661163,0.0,0.0,morning,0,0.0,0,"(15, 2)",0,0.0,60
582628.523294608,-2195358.79686406,60,2024-01-01 06:01:00,1,-70.33423543060692,59.20036654145942,0.32531595121434753,0.0006944444444444445,morning,2,0.0057471983219885055,0,"(15, 2)",60,0.0,61
582628.428168462,-2195358.46419301,120,2024-01-01 06:02:00,1,-70.33423844226576,59.20036433086526,0.34473029398677213,0.001388888888888889,morning,2,0.00574722502273699,0,"(15, 2)",120,0.0,62
582628.334548414,-2195358.13109109,180,2024-01-01 06:03:00,1,-70.33424145729704,59.20036216075484,0.34473457675357555,0.0020833333333333333,morning,2,0.0057473878539543635,0,"(15, 2)",180,0.0,64
582628.241561675,-2195357.79782945,240,2024-01-01 06:04:00,1,-70.3342444735541,59.200360007646744,0.34471788707723977,0.002777777777777778,morning,2,0.005747344794735917,0,"(15, 2)",240,0.0,65
582628.148878564,-2195357.46446332,300,2024-01-01 06:05:00,1,-70.33424749064895,59.200357862716544,0.34473711999328777,0.003472222222222222,morning,2,0.005747418161048645,0,"(15, 2)",300,0.3401658134032038,66
582628.057035949,-2195357.13085633,360,2024-01-01 06:06:00,1,-70.33425050962946,59.20035574037897,0.3447454138496666,0.004166666666666667,morning,2,0.005747720236194838,0,"(15, 2)",360,0.3447311850929877,69
582627.962914749,-2195356.79786307,420,2024-01-01 06:07:00,1,-70.33425352384948,59.20035355682834,0.34476565119131647,0.004861111111111111,morning,2,0.005748041671697571,0,"(15, 2)",420,0.3447391822319139,70
582627.87291578,-2195356.46378915,480,2024-01-01 06:08:00,1,-70.33425654641604,59.200351483989095,0.34471223192975936,0.005555555555555556,morning,2,0.005747195860227157,0,"(15, 2)",480,0.3447327570277224,71
582627.776721137,-2195356.13257017,540,2024-01-01 06:09:00,1,-70.33425954541019,59.20034924356536,0.34363442955636053,0.00625,morning,2,0.005747310387785085,0,"(15, 2)",540,0.3445115645264005,72
582627.683507969,-2195355.79929032,600,2024-01-01 06:10:00,1,-70.33426256190366,59.20034708444689,0.344795982362047,0.006944444444444444,morning,2,0.005747181567167578,0,"(15, 2)",600,0.34452338167505064,73
582627.590980399,-2195355.4659101,660,2024-01-01 06:11:00,1,-70.3342655790742,59.20034494366469,0.34470922241692764,0.007638888888888889,morning,2,0.005746992464518814,0,"(15, 2)",660,0.34451657936097213,74
582627.489715992,-2195355.13504955,720,2024-01-01 06:12:00,1,-70.33426857650021,59.200342568013134,0.3447339580192588,0.008333333333333333,morning,2,0.005747657513121997,0,"(15, 2)",720,0.3444937070939883,76
582627.385684122,-2195354.80499887,780,2024-01-01 06:13:00,1,-70.33427156756672,59.20034011795298,0.34478020931879216,0.009027777777777777,morning,2,0.005747688723980124,0,"(15, 2)",780,0.3444992328138274,77
582627.282949169,-2195354.47459968,840,2024-01-01 06:14:00,1,-70.3342745613355,59.20033770273207,0.3447260444146711,0.009722222222222222,morning,2,0.005747692320543971,0,"(15, 2)",840,0.3447117433711312,78
582627.178119848,-2195354.14480779,900,2024-01-01 06:15:00,1,-70.33427755034165,59.200335231205266,0.34477382935628054,0.010416666666666666,morning,2,0.005748032207569539,0,"(15, 2)",900,0.3447138728332273,79
582627.078453983,-2195353.81349511,960,2024-01-01 06:16:00,1,-70.33428055130052,59.20033289851532,0.3447031855795474,0.011111111111111112,morning,2,0.005747690352578248,0,"(15, 2)",960,0.34473801500166246,80
582626.973972296,-2195353.48354714,1020,2024-01-01 06:17:00,1,-70.33428354159241,59.20033043638616,0.34481746020772835,0.011805555555555555,morning,2,0.005747743982841386,0,"(15, 2)",1020,0.3447546382741979,81
582626.872769334,-2195353.15270846,1080,2024-01-01 06:18:00,1,-70.33428653880235,59.20032806234412,0.3446952295736917,0.0125,morning,2,0.005746913712123968,0,"(15, 2)",1080,0.3447372089248467,82
582626.771336973,-2195352.82199764,1140,2024-01-01 06:19:00,1,-70.33428953494095,59.20032568207516,0.3446402647908454,0.013194444444444444,morning,2,0.005747679449803743,0,"(15, 2)",1140,0.3447197670147566,83
582626.669352045,-2195352.49130858,1200,2024-01-01 06:20:00,1,-70.3342925310637,59.20032328708349,0.34478117737631053,0.013888888888888888,morning,2,0.00574786054837032,0,"(15, 2)",1200,0.3447236673741041,84
582626.56678043,-2195352.16081631,1260,2024-01-01 06:21:00,1,-70.33429552561333,59.20032087629291,0.34476639877407433,0.014583333333333334,morning,2,0.005747031117706976,0,"(15, 2)",1260,0.344737990969645,85
582626.460973439,-2195351.83237797,1320,2024-01-01 06:22:00,1,-70.33429850280804,59.20031837744733,0.343785783217076,0.015277777777777777,morning,2,0.00574720604834518,0,"(15, 2)",1320,0.34452877708047364,86
582626.350810629,-2195351.50436249,1380,2024-01-01 06:23:00,1,-70.33430147762587,59.20031576230733,0.3447400677896674,0.01597222222222222,morning,2,0.005748341553314039,0,"(15, 2)",1380,0.3445256208167933,87
582626.237317243,-2195351.17735257,1440,2024-01-01 06:24:00,1,-70.33430444451332,59.20031305758867,0.34486273740742923,0.016666666666666666,morning,2,0.0057480694630839355,0,"(15, 2)",1440,0.34455626435064046,88
582626.125597297,-2195350.84981918,1500,2024-01-01 06:25:00,1,-70.33430741551626,59.20031040055548,0.3447818130639529,0.017361111111111112,morning,2,0.005748655779017636,0,"(15, 2)",1500,0.34456247757598774,89
